,neg,pos,neut
scale,0,0,4
scallop,0,2,0
scalloped,0,3,0
scalp,1,0,0
scalper,0,0,1
scam,2,0,1
scamm,1,0,0
scamper,0,0,2
scan,1,1,4
scandal,7,8,14
scandinavian,1,0,0
scandle,1,0,0
scaner,1,0,0
scania,0,0,1
scant,0,1,0
scape,0,0,1
scapegoat,1,0,0
scar,9,3,6
scarborough,0,0,2
scarce,1,0,1
scare,3,1,5
scared,15,3,11
scaremongering,1,0,0
scarf,1,1,2
scarfacial,0,0,1
scarier,0,0,1
scariest,1,1,0
scarlet,0,2,2
scarlett,0,0,1
scary,9,10,13
scarythought,0,1,0
scathing,0,0,2
scatter,0,1,1
scc,0,0,1
scd,0,0,1
sce,0,1,0
scenario,3,2,4
scene,7,40,34
scenecity,0,0,1
scenery,0,1,0
scenes,0,1,2
scenethiz,0,0,1
scenez,0,0,1
sceni,1,0,0
scenic,0,0,1
scent,0,0,1
scented,1,0,0
scentsy,0,1,0
sceptical,0,0,1
scfafootball,0,0,1
scfc,0,1,0
sch,0,2,3
schalke,0,3,1
scheckelhoff,0,1,0
sched,2,2,1
schedu,0,0,1
schedule,15,31,86
scheduling,0,2,1
schefter,1,0,0
scheme,1,0,6
schenectady,0,0,1
schengen,0,0,1
scherzer,0,1,0
scherzinger,1,0,0
schicflair,0,0,1
schickel,0,0,1
schiff,0,0,1
schilling,1,0,0
schindler,0,1,0
schizophrenic,1,0,0
schloss,0,1,0
schlubby,0,1,0
schmeh,0,0,1
schmidt,0,1,2
schmitt,0,0,1
schneiderjens,0,0,1
schneiderlin,0,0,1
schniederjans,0,1,0
scholar,0,0,5
scholars,0,1,1
scholarship,1,2,3
scholes,0,0,1
school,131,207,211
schoolboy,0,0,1
schoolboyq,0,1,0
schooler,0,1,2
schoolgirl,1,1,0
schoolphotoselfie,0,0,1
schools,0,0,3
schoolsfund,0,0,1
schoolwe,1,0,0
schooner,0,1,0
schreier,0,1,0
schroeder,0,0,1
schs,0,1,0
schtum,0,1,0
schudge,0,1,0
schuh,0,1,0
schuler,0,0,1
schulmann,0,1,0
schultz,0,1,1
schulz,0,1,0
schumer,20,44,53
schurrle,0,1,0
schwarber,0,0,5
schwartzman,0,0,1
schwarzenegger,0,1,0
schwinn,0,1,0
sci,1,1,3
science,7,11,14
sciences,0,0,1
scientific,1,0,2
scientist,0,1,10
scientology,1,0,1
scifi,0,1,2
scinerd,0,0,1
scioscia,0,0,1
scir,0,1,0
scirea,0,2,0
scj,0,0,1
sckcs,0,1,0
sco,0,0,1
scoe,0,0,1
scoggins,0,0,1
scognamiglio,0,1,0
scold,1,0,0
scooby,0,1,1
scoop,1,16,5
scoot,0,1,1
scooter,1,1,1
scope,0,1,0
scorch,1,2,2
scorched,0,1,0
scorcher,0,1,1
score,30,96,153
scoreboard,3,2,3
scorecard,0,2,2
scorecenter,0,0,1
scored,0,1,1
scorei,1,0,0
scoreless,0,1,9
scoreline,0,0,1
scorer,1,13,4
scoresheet,0,1,1
scoring,2,5,7
scorn,1,0,0
scorpio,0,1,3
scorpion,0,2,2
scorsese,0,0,1
scot,1,2,2
scotia,1,0,0
scotland,11,14,18
scotsirish,0,1,0
scott,59,29,160
scottish,2,2,3
scottishcup,0,1,0
scottrade,1,0,0
scottsdale,0,1,2
scottwalker,0,0,2
scotty,0,1,2
scotu,13,2,16
scotus,28,3,49
scour,0,1,0
scouser,0,1,1
scout,0,9,12
scouter,0,0,1
scouts,2,8,6
scowl,0,1,0
scramble,0,2,0
scrap,2,1,8
scrapbook,0,0,2
scrape,0,0,2
scrapin,0,0,1
scrappy,0,1,0
scrat,0,0,1
scratch,5,1,9
scream,9,25,17
screamed,0,1,0
screaming,1,0,0
scree,0,0,1
screen,10,34,31
screengrab,0,0,1
screening,4,18,18
screeningampin,0,0,1
screenplay,1,4,3
screens,0,0,1
screenshot,2,3,2
screenwriters,0,1,0
screw,17,4,11
screwjob,0,0,1
scribble,0,0,1
scribe,0,1,0
scrimmage,1,5,10
scrimmages,0,0,1
script,2,9,23
scripted,1,0,2
scripts,0,0,1
scripttour,0,2,0
scripture,2,1,0
scriptwriter,0,1,0
scroll,0,2,3
scrolling,1,0,0
scrote,0,1,0
scrounger,0,0,1
scrub,1,3,1
scrubbin,0,0,1
scruff,0,2,0
scruffy,1,1,0
scrum,2,0,0
scruple,1,0,0
scrupulous,0,0,1
scrutinise,0,0,1
scrutiny,0,0,1
scstar,0,2,0
sctop,0,3,1
sctopten,0,1,0
scuba,0,0,1
scudetto,0,3,1
scuf,1,0,0
sculpt,0,1,0
sculptor,0,0,1
sculpture,0,0,1
scum,7,1,1
scumbag,4,0,0
scummy,1,0,0
scunthorpe,0,0,1
scupad,0,1,0
scutaro,0,0,2
scyfy,0,1,0
sd,4,6,1
sdfair,0,0,1
sdh,0,0,1
sdhs,0,1,0
sdl,0,0,1
sdma,0,1,0
sds,0,1,0
sdss,0,1,0
sdsu,1,1,2
sdtrk,0,0,1
sdu,0,1,0
sdve,0,1,0
sdw,0,1,0
se,2,7,9
sea,3,6,12
seabuiscuit,0,0,1
seachtar,0,1,0
seacrest,0,0,1
seadogs,0,0,1
seafood,0,1,0
seagate,0,0,1
seager,0,2,4
seahawk,1,1,0
seahawks,2,2,6
seaholm,3,3,3
seal,10,3,11
sealed,0,0,3
seam,1,0,0
seams,0,0,1
seamus,0,0,2
sean,5,12,18
seanbean,0,1,0
seanzi,0,0,1
sear,1,0,0
search,9,20,34
searched,0,0,1
searle,0,1,0
sears,0,0,2
seasns,1,0,0
season,109,346,370
seasonal,0,1,0
seasoncard,0,0,1
seasonhopeless,0,1,0
seasons,1,4,1
seasonsampa,0,1,0
seasonw,0,0,1
seat,12,41,41
seating,0,1,2
seatplan,0,0,1
seats,0,2,0
seattle,3,5,13
seattlefirst,0,1,0
seavey,1,10,2
seavrsl,0,0,1
seavssd,0,0,1
seb,2,2,1
sebastian,1,1,1
sebastianstan,0,0,1
sebringlsa,0,0,1
sec,6,11,31
secaucus,0,0,1
secede,0,0,1
sechin,0,0,1
second,21,82,116
seconda,0,0,1
secondary,0,1,1
seconds,0,1,0
secrecy,1,0,2
secret,7,15,38
secretary,0,2,13
secretive,0,0,1
secretly,1,1,3
secrets,1,1,1
secstate,0,0,1
sect,7,0,5
sectarian,2,0,1
sectio,0,0,1
section,2,9,28
sector,2,0,3
secular,2,1,2
secularist,0,0,1
secure,3,11,11
secured,0,0,1
securement,0,0,1
security,22,14,32
securitycon,0,0,1
sedaka,0,0,1
sedaris,0,0,1
sedc,0,1,0
sedge,0,1,0
sedona,0,0,1
seduction,0,1,0
seed,4,13,17
seedorf,1,0,0
seeds,0,0,1
seeil,0,0,1
seein,1,1,0
seeing,0,1,1
seeingitwithfresheye,0,1,0
seek,6,10,32
seeker,6,0,2
seemingly,1,2,1
seemsm,0,0,1
seen,0,2,1
seest,0,0,1
seeya,0,1,0
sef,2,0,0
sefton,0,0,1
sega,0,3,0
segal,0,4,6
segment,2,7,7
segunda,0,0,1
segura,0,0,1
segway,0,0,1
seh,1,0,1
sehun,0,1,0
seigaku,0,0,1
seige,0,0,1
seinfeld,2,69,30
seismo,1,0,0
seize,2,0,1
seized,0,0,1
sejesong,0,0,1
sekai,0,0,1
sekera,0,0,3
sela,1,0,1
selah,0,0,1
selamatulangtahunlouis,1,0,0
selbst,1,0,0
selby,0,1,0
selca,2,1,0
seldom,0,1,0
sele,0,0,1
select,1,8,15
selection,9,10,17
selective,2,1,2
selector,1,1,0
selena,2,17,23
selenagomez,0,1,1
self,13,23,33
selfcare,0,1,0
selfie,0,8,17
selfish,5,0,1
selfishly,0,0,1
selfishness,0,0,1
selfless,0,1,0
selfrespect,1,0,0
selhurst,0,1,0
selig,0,1,0
sell,40,83,120
seller,2,2,3
sellers,0,0,1
selling,2,1,4
sellout,1,1,1
sellouts,1,0,0
sells,1,0,0
selma,4,5,2
sem,1,1,0
sema,0,0,2
seman,0,0,1
semantic,0,1,1
sembreak,0,1,0
semcasinococo,0,0,1
semester,2,5,4
semetary,1,0,0
semetic,0,0,1
semi,3,11,10
semiconductor,0,0,1
semifinal,1,4,2
semifinals,0,1,0
seminar,1,4,6
semis,0,6,6
semite,0,0,1
semites,0,0,1
semitic,1,0,0
semitism,3,0,0
semper,0,0,2
sen,2,3,13
senat,0,0,1
senate,2,2,17
senator,4,5,13
send,29,65,97
sendin,0,0,1
sending,0,0,1
sendmebackstage,0,0,1
sendmetoasleep,1,0,0
sendoff,0,2,1
seneca,0,0,1
senegal,2,0,0
senegalese,3,0,0
sengoku,0,0,1
senile,0,0,1
senior,7,19,36
seniornight,0,1,0
seniorquote,0,0,1
seniors,0,1,0
senjutsu,0,0,1
senran,0,1,0
sens,1,0,2
sensai,0,1,0
sensation,0,1,0
sensational,0,2,0
sensationalism,0,1,0
sense,23,20,33
senseless,1,0,2
sensibility,1,0,0
sensible,0,5,1
sensibly,0,0,1
sensie,0,1,0
sensitive,1,4,3
sensitivity,0,0,1
sensor,0,0,2
sensory,0,0,1
sentedcruz,1,0,0
sentence,14,2,10
sentiment,0,1,1
sentimentalists,0,1,0
sentinel,0,1,2
sentosa,0,1,0
sentral,0,0,1
sentrum,0,0,1
seo,0,6,4
seochat,0,0,1
seohyun,2,0,0
seoul,3,10,3
sep,5,44,61
sepang,0,1,0
separate,1,2,14
separately,0,0,1
separation,0,0,3
separationofpower,1,0,0
sepoy,0,0,1
seprember,0,0,1
sept,16,117,151
septe,0,0,1
septem,0,0,1
septemb,0,0,1
september,44,275,347
septemberi,0,1,0
septembers,1,0,0
septemberth,0,0,1
septemer,0,0,1
septober,0,0,1
septth,0,0,1
sequel,2,5,7
sequence,0,1,2
sequined,1,0,0
serafim,0,1,0
serana,0,1,0
serato,1,0,0
serbia,0,0,1
serbian,0,2,0
serdang,0,0,1
seren,0,1,0
serena,4,88,31
serenade,0,2,2
serenagtvenus,1,0,0
serenavsvenus,0,2,0
serf,0,0,3
serge,0,1,1
sergei,1,0,1
sergio,0,2,2
serial,1,2,5
serie,3,6,14
seriea,2,3,1
serieatim,0,0,1
series,19,83,79
serieswin,0,1,0
serifprob,0,0,1
seriousfan,0,0,1
seriouslly,0,1,0
seriously,35,40,28
seriousness,0,0,2
seriusly,0,1,0
sermon,1,4,1
serpent,1,1,0
serpong,0,1,0
serqet,0,1,0
serra,0,0,1
servant,1,1,1
serve,17,46,54
server,8,7,12
servers,0,0,1
service,22,52,65
serviceda,0,0,1
serviceman,1,0,0
services,1,4,1
servicing,0,1,1
ses,0,1,0
sesame,0,0,1
sesh,0,3,3
sessegnon,0,0,1
session,4,30,38
sessions,0,3,1
set,61,252,381
sete,0,1,0
seth,26,95,179
sethmeyers,0,0,1
sethrollin,0,0,1
sethrollins,0,1,0
sethrollinsisthecure,0,0,1
setlist,0,2,2
seton,0,1,0
setter,0,1,1
setting,0,1,5
settings,0,0,2
settingt,0,0,1
settle,3,8,17
settlement,1,2,2
settler,1,0,0
setup,0,6,1
setzer,1,0,0
seung,0,1,0
seunggi,0,1,0
seungrisenpai,0,1,0
seuss,1,5,7
sev,0,0,1
seven,0,1,14
sevenfold,0,1,1
seventh,0,0,5
seventy,0,0,2
sever,2,0,1
severe,2,1,2
severely,1,0,0
severing,0,0,1
severino,0,2,0
severity,0,0,1
severus,0,0,1
sevilla,3,6,6
sevrdwa,0,0,1
sew,0,1,0
sewanee,0,1,0
sewell,0,0,1
sewer,0,0,1
sewickley,1,0,0
sex,23,17,30
sexism,0,1,0
sexist,1,0,0
sextape,2,0,1
sexual,5,3,4
sexualisation,0,0,1
sexuality,1,0,1
sexuall,1,0,0
sexually,2,1,0
sexxy,0,1,0
sexy,1,31,10
sexysocialism,0,0,1
sexysoulsinterestingpic,0,1,0
seyfried,0,1,0
seymour,2,0,1
sf,3,16,15
sfbs,0,0,1
sfc,0,1,1
sfgchamps,0,1,0
sfgiant,0,6,0
sfgiants,3,3,4
sfira,0,0,1
sfla,0,0,1
sfn,0,0,1
sfo,0,0,1
sfs,0,1,0
sfu,0,0,1
sfv,0,2,0
sfvalley,0,1,0
sfvschc,0,1,0
sg,1,3,4
sgfg,0,1,0
sgp,0,0,1
sgs,0,0,1
sh,3,3,4
sha,1,2,2
shaa,0,1,2
shaara,0,1,0
shaataap,1,0,0
shabath,0,1,0
shabazz,0,0,1
shabbat,0,3,1
shabbo,0,0,1
shabbos,0,1,0
shabby,0,2,0
shack,0,1,1
shackelford,0,0,1
shade,1,4,10
shades,3,0,4
shadi,0,0,1
shadow,1,6,9
shadows,0,0,1
shadowy,1,0,1
shady,3,0,1
shae,0,1,0
shaft,1,0,0
shaftesbury,0,0,1
shag,1,0,0
shaggin,1,0,0
shah,0,1,1
shahbaz,1,0,0
shahi,0,0,1
shahid,1,2,7
shahrukh,0,1,0
shailene,0,1,0
shair,0,0,1
shake,1,11,17
shakeandbakejay,0,1,0
shakedown,0,2,0
shakeitoff,0,1,0
shakeout,0,0,1
shaker,2,2,8
shakes,0,0,2
shakespear,0,0,2
shakespeare,0,1,2
shakeup,0,0,2
shakhtar,1,0,1
shakin,0,0,1
shakiness,0,0,1
shaknado,0,1,0
shaktar,0,0,1
shakti,0,0,1
shakurbasti,1,0,1
shaky,2,1,1
shalegas,0,0,1
shalimar,0,0,1
shalke,1,0,0
shall,5,35,32
shallow,2,1,0
shalom,0,3,0
shalwar,0,0,1
sham,0,0,3
shamble,3,0,2
shame,31,14,11
shamed,1,0,0
shameful,5,0,0
shameless,1,1,2
shaming,0,1,0
shammi,1,0,2
shamon,0,0,1
shamrockn,0,0,1
shamus,0,0,2
shan,0,2,1
shana,0,1,0
shane,1,1,3
shanee,0,0,1
shaneismrx,0,1,0
shanghai,0,2,4
shania,0,3,0
shank,1,1,2
shankar,2,0,0
shankill,3,0,0
shanney,0,0,1
shannon,1,8,5
shannonbream,0,1,1
shans,0,1,0
shante,0,1,0
shap,0,1,0
shape,3,7,7
shaped,0,1,0
shapeshifter,0,0,1
shaq,0,0,2
shaqiri,0,0,3
shaquille,0,1,0
sharapova,0,1,0
share,19,71,79
shareable,0,0,1
shareece,0,0,1
sharefest,0,1,0
shareholder,2,0,0
shares,0,1,1
sharesll,0,0,1
sharetea,0,0,1
shari,0,1,0
sharia,2,0,0
shariah,1,0,0
sharif,0,1,0
sharing,0,2,4
sharingan,0,0,1
sharinghappiness,0,1,0
shariq,0,1,0
shark,3,7,12
sharkdiv,0,0,1
sharkdiving,0,0,1
sharkmovie,0,0,1
sharknado,58,146,141
sharky,0,1,0
sharleen,0,1,0
sharm,1,0,0
sharma,0,0,4
sharmeen,0,2,1
sharon,3,4,5
sharp,8,5,8
sharpe,0,4,1
sharpen,0,1,2
sharpening,0,1,0
sharpie,0,0,1
sharples,0,0,1
sharply,1,0,0
sharratt,0,0,1
shashi,0,0,1
shastri,0,0,1
shat,1,0,0
shatec,0,1,0
shating,0,1,0
shatner,0,0,1
shatrughan,1,0,0
shatter,0,0,2
shattered,0,1,0
shaun,1,3,1
shauna,0,1,0
shave,2,0,0
shaw,0,3,7
shawaal,0,0,1
shawal,0,1,0
shawarma,1,0,1
shawdow,0,1,0
shawn,27,113,168
shawninmadrid,0,0,1
shawnmendesny,0,0,1
shawns,0,0,1
shawty,1,4,2
shawwty,0,0,1
shay,1,1,0
shaytaan,0,0,1
shazam,0,2,2
shazia,1,1,0
shd,1,1,1
shdnt,1,0,0
shea,0,2,0
sheamphead,0,1,0
sheamus,3,11,31
shearer,0,0,2
sheath,0,0,1
shebby,0,1,0
sheckler,0,1,0
shed,2,3,4
shedd,0,0,1
shedden,0,1,0
shedidntcallbecause,0,0,1
shedontknow,0,1,0
shedseven,0,1,0
sheen,2,4,10
sheenroast,1,0,0
sheep,2,2,4
sheepandbeef,0,0,1
sheeps,0,0,1
sheer,0,1,1
sheeran,26,121,118
sheerhan,0,1,0
sheerly,1,0,0
sheesh,1,2,1
sheet,2,8,4
sheetrock,0,0,1
sheets,0,1,0
shef,0,1,0
sheff,0,3,3
sheffield,0,6,5
shege,0,0,1
sheik,0,0,1
sheikh,0,0,3
sheila,0,1,0
sheisthefemalebigbuck,0,1,0
shekau,2,0,2
shekel,0,0,1
shel,1,0,0
shelby,1,0,0
shelbydenise,0,1,0
sheldon,0,1,0
shelf,0,1,3
shelikesrosie,0,0,1
shell,1,6,7
shelley,0,0,1
shelli,0,0,4
shellie,0,0,1
shelling,3,0,2
shelly,0,0,2
shelter,1,1,6
shelton,0,1,1
shelve,1,0,0
shelvey,1,1,0
shen,0,0,1
shenandoah,0,1,0
shenanigan,2,1,2
shenxin,0,1,0
shenzhen,0,0,1
sheona,0,0,1
shepard,1,4,5
shepherd,0,0,1
shepherdshut,0,0,1
sheppard,1,0,0
sher,0,1,0
sherane,0,0,1
sheraton,0,0,1
sherbet,1,0,2
sheridan,2,0,0
sheriff,2,0,2
sherlock,0,2,0
sherman,1,1,0
shermanoff,0,0,1
sherringham,0,1,0
sheryl,0,0,2
sheskindahotvma,0,2,2
shettima,1,0,0
sheva,1,1,0
shevchenko,0,1,1
shey,1,0,0
shh,1,3,3
shi,0,2,0
shia,4,1,2
shias,1,0,1
shid,1,0,2
shidd,1,0,0
shiekh,0,0,1
shield,2,1,13
shields,0,4,0
shieldyeah,0,1,0
shift,8,16,20
shigeru,0,0,1
shiit,2,0,0
shiite,1,0,0
shikari,0,0,1
shikena,0,0,1
shill,1,0,0
shiloh,0,1,0
shimmercak,1,0,0
shin,5,53,21
shinchiro,0,0,1
shindig,0,0,1
shine,10,25,15
shinedown,0,1,1
shinee,0,1,2
shingeki,0,0,1
shinhwa,0,0,1
shinhye,0,1,0
shining,0,1,1
shinji,0,1,2
shinjuku,0,1,0
shinners,0,1,0
shinobi,0,0,1
shiny,0,0,2
ship,12,19,30
shipment,0,1,1
shipper,0,0,1
shipping,4,7,7
shippuden,2,2,3
shippuuden,0,0,1
shipyard,1,0,0
shiraz,0,0,1
shire,0,0,1
shirk,0,1,0
shirley,0,1,1
shirm,0,0,1
shirt,17,85,75
shirtless,0,1,1
shishi,0,0,1
shit,230,101,98
shitball,0,1,0
shite,4,1,5
shitei,0,0,1
shitey,2,0,0
shitfac,0,0,1
shitfest,0,1,0
shithappen,0,2,0
shithole,1,0,0
shitmymomsay,0,1,0
shitmyself,1,0,0
shits,1,1,0
shitt,1,0,1
shitternet,0,1,0
shitti,1,0,0
shittown,1,0,0
shitty,13,2,3
shitverse,0,0,1
shitwank,0,1,0
shiuld,0,1,0
shiv,0,0,1
shivaji,0,0,1
shiver,2,0,2
shivers,0,1,0
shivsena,1,0,0
shld,0,0,5
shmack,0,0,1
shmellout,0,0,1
shneider,0,1,0
sho,0,0,1
shobha,0,0,1
shobhit,0,0,1
shock,15,6,16
shocked,2,0,3
shocker,1,0,2
shocking,8,4,3
shockingly,1,1,0
shoddy,1,0,0
shoe,5,12,12
shoeless,1,5,4
shoes,0,1,0
shogun,0,1,1
shohoda,0,0,1
shokingnews,0,0,1
shola,0,2,0
shomer,0,0,1
shoot,39,44,72
shooter,0,0,2
shootin,0,0,1
shooting,11,3,10
shootmenow,1,0,0
shootout,0,0,4
shop,6,26,41
shopinsidermorn,0,1,0
shoppe,0,0,1
shopper,0,3,0
shoppers,1,1,0
shoppin,1,0,0
shopping,7,31,21
shoppingampdo,0,0,1
shops,0,0,1
shoptilwedrop,0,1,0
shore,6,22,19
shoreline,0,1,0
shores,1,0,1
short,18,44,55
shorten,0,1,0
shortland,0,1,0
shortlist,0,2,1
shortly,0,3,7
shorts,0,1,1
shortstack,0,2,0
shortstop,0,0,3
shortstraw,1,0,0
shortweek,0,1,0
shorty,0,1,3
shot,25,41,60
shotgun,1,0,1
shoti,1,0,0
shoto,1,0,0
shots,0,2,1
shotta,0,0,2
shotton,3,3,4
shoulda,0,2,3
shouldatheistscelebratechristma,0,0,1
shouldbegood,0,1,0
shouldbesecyion,1,0,0
shoulder,3,5,8
shouldnt,1,0,0
shounen,0,0,1
shourie,0,1,0
shout,4,28,17
shoutfore,1,0,0
shoutout,1,7,2
shove,4,0,2
shovel,0,2,1
shovin,0,1,0
showa,0,1,0
showaddywaddy,0,1,0
showbiz,0,1,2
showcas,0,3,0
showcase,2,6,4
showcases,0,1,0
showd,0,0,1
showday,0,1,0
showdown,2,3,13
shower,5,4,17
showgirl,0,1,1
showgirls,0,1,0
showin,1,0,1
showing,0,10,8
showkase,0,1,0
showroom,0,1,0
shows,1,0,0
showsaturday,0,0,1
showss,0,1,0
showsvmas,1,0,0
showtime,0,3,9
showtimeharana,0,1,0
showtimes,0,2,0
showy,0,1,0
showyourpoppik,0,1,0
shoxx,0,0,1
shraddhanjali,1,0,0
shred,2,0,1
shreddie,1,0,0
shrek,0,2,2
shreveport,0,1,0
shrewd,1,0,0
shrews,0,0,2
shrewsbury,0,0,2
shreya,0,4,5
shriman,0,0,1
shrimp,1,1,4
shrine,0,1,0
shrink,0,0,2
shriver,0,0,1
shrolong,1,0,0
shrug,2,0,2
sht,3,0,3
shtick,0,1,0
shu,0,0,2
shuck,0,2,2
shud,1,1,2
shudder,1,0,0
shudnt,0,0,1
shudve,0,1,0
shuffle,4,7,3
shuffling,1,0,0
shuhada,0,1,0
shui,0,0,1
shuld,0,1,0
shum,0,1,0
shumpert,1,0,1
shun,0,1,1
shush,0,1,0
shut,17,8,23
shutdown,3,1,3
shutout,0,3,0
shutter,0,0,1
shuttle,0,1,2
shuttlesworth,0,0,1
shutup,1,2,0
shuv,1,0,0
shv,0,1,0
shw,1,0,0
shxt,2,0,0
shy,2,0,4
shyaar,0,0,1
shyte,0,0,1
si,1,4,8
sia,0,0,2
sian,1,0,0
siapa,0,0,1
siapin,0,1,0
siasia,0,0,2
siberia,4,0,8
sibling,1,4,2
sicc,0,1,0
sice,0,0,1
sicembear,0,1,0
sicily,0,0,1
sick,46,21,28
sickest,0,0,1
sickie,0,1,0
sickness,1,1,0
sickrage,0,0,1
sicksportscenter,0,1,0
sicular,1,0,0
sid,0,1,1
siddiq,0,0,2
siddle,1,0,0
siddu,1,0,0
sidebar,0,1,0
sidebyside,0,0,1
sided,2,1,5
sidelin,0,1,0
sideline,3,3,4
sideout,0,0,1
sidereal,0,0,1
sidestep,1,0,0
sidetrack,1,1,0
sideways,0,0,1
sidney,2,3,6
siedah,0,1,0
siege,0,0,2
sierra,0,2,2
sierranya,0,1,0
sif,0,1,3
siff,0,1,0
sig,0,0,2
sigh,7,7,10
sighs,0,1,0
sight,3,8,8
sighted,0,1,0
sighting,0,2,10
sightings,0,0,1
sightseeing,0,2,0
sigma,0,0,2
sigmaalphaiota,0,1,0
sign,44,88,202
signage,0,0,1
signal,2,3,6
signalize,0,0,1
signalizing,0,0,1
signature,0,5,6
signatureeventcenter,0,0,1
signd,0,0,1
signed,0,0,1
signfromgod,0,1,0
signi,1,0,0
significance,0,1,1
significant,3,4,7
significantly,1,2,1
significative,0,0,1
signify,0,1,1
signing,6,16,15
signingbeltran,0,1,0
signsyouneedtogrowup,0,0,1
signup,0,0,2
sih,1,0,0
sii,0,0,1
sike,1,1,1
sikh,0,0,2
sikhism,0,0,1
sikhs,1,0,3
sila,0,1,0
silence,6,3,13
silent,7,10,11
silentfilm,0,1,0
silently,0,0,2
silentnight,0,1,0
silhouette,0,0,1
silica,0,0,1
silicon,0,2,3
silk,0,1,2
silkroads,0,0,1
silky,0,1,1
silliness,0,1,0
silly,3,6,5
sillydad,0,0,1
siloam,0,0,1
silosobeach,0,1,0
siltitng,0,1,0
silv,0,0,1
silva,4,12,16
silver,2,4,11
silverpop,0,1,0
silverstein,0,0,1
silverstone,0,2,0
silverware,0,1,0
silvia,0,0,1
silvio,1,0,3
silvioschampagnefootball,0,0,1
silvr,0,1,0
sim,3,6,8
simama,0,1,0
simchat,0,1,0
simcity,1,3,7
simi,0,1,3
similar,7,13,25
similarities,0,0,1
similarity,2,3,5
similarly,1,1,0
simmer,0,0,2
simmon,0,2,4
simmons,1,11,4
simon,3,4,8
simona,0,1,0
simone,1,2,6
simoneau,0,1,0
simonika,0,1,0
simple,9,7,16
simplicity,0,0,1
simplify,0,0,2
simply,3,13,12
simpson,2,8,4
simpsons,1,0,1
sims,1,0,3
simuladore,0,0,1
simulate,0,0,1
simulation,0,2,0
simulia,0,0,2
simultaneously,0,1,2
sin,8,5,21
sina,0,1,1
sinai,0,0,1
sinatra,0,1,2
sinatraamovie,0,0,1
sincerely,4,5,0
sincerity,0,0,1
sinclair,0,1,0
sinclar,0,1,0
sindri,0,0,1
sinead,0,1,3
sineadfresh,0,1,0
sing,20,106,84
singapore,3,19,23
singaporeans,0,1,0
singaporepm,0,0,1
singer,4,17,18
singerampsongwriter,0,0,1
singers,0,2,0
singh,2,2,1
singin,0,1,0
singing,3,13,7
singl,0,0,1
single,24,72,115
singleb,1,0,0
singlecell,1,0,0
singlelad,0,1,0
singles,0,0,1
singlet,0,0,1
singleton,0,1,1
singloudxproud,0,1,0
sings,0,3,0
singsnap,0,0,1
sinha,1,0,0
sinister,0,0,1
sink,4,4,8
sinkingin,0,1,0
sinn,2,1,3
sinner,0,1,1
sinnfein,1,0,0
sino,0,1,2
sinsaver,0,1,0
sinus,0,1,0
sio,0,1,0
sioux,1,0,1
sip,2,3,3
sipp,0,0,1
sipping,0,1,0
sips,0,1,0
sipsampscript,0,1,0
sipselfie,0,1,0
siqueira,0,1,0
siquiera,0,0,1
sir,10,17,28
siren,0,1,0
sirens,0,0,1
siri,5,12,5
sirius,1,0,2
siriwantstokillme,1,0,0
sirjamieh,0,1,0
siro,0,1,14
sis,2,12,8
sisi,1,0,1
sista,0,1,0
sistah,1,0,0
sistar,0,0,2
sister,10,53,46
sisterhood,0,1,0
sisterlife,1,0,1
sisterly,0,1,0
sisters,0,2,2
sistersong,0,0,1
sistine,0,1,0
sit,186,245,378
sitch,0,0,1
sitcom,0,2,4
site,10,18,29
sitel,0,1,0
sitter,0,0,1
sitting,0,1,2
situation,6,3,15
siu,2,0,1
siue,0,0,1
siuenation,0,1,1
siva,1,5,2
sivan,0,0,1
sixers,0,1,2
sixteen,0,4,3
sixth,0,2,7
siya,1,0,1
siys,0,0,1
size,6,11,15
sized,1,2,1
sizing,0,0,1
sizzle,0,0,1
sj,1,2,3
sjaco,0,0,1
sjgc,0,0,1
sjit,0,1,0
sjoekoe,0,1,0
sjp,1,6,4
sjsharks,1,0,0
sk,0,0,1
ska,0,2,0
skandinavisk,0,1,0
skank,1,1,0
skanx,0,0,2
skaroulis,0,0,1
skash,0,2,0
skate,0,9,10
skateboard,0,1,2
skatenight,0,3,0
skater,0,0,1
skates,0,0,1
skating,0,1,1
skcajbndf,0,0,1
skecher,0,0,1
skeepung,0,0,1
skegness,0,0,1
skeleton,0,0,1
skellington,0,0,1
skelton,0,1,0
skeptical,0,1,0
sker,0,1,0
skerryvore,0,1,0
sketch,1,3,3
sketchdaily,0,1,0
sketchers,1,0,0
sketchy,2,1,0
sketsa,0,0,1
skeumorphism,0,1,0
skeuomorphic,0,0,1
skh,0,2,0
ski,0,1,2
skies,0,1,1
skiesgreat,0,1,0
skiexpo,0,0,1
skiing,0,3,1
skil,0,1,0
skill,2,10,8
skilled,0,2,1
skillman,0,0,1
skills,0,1,0
skillset,0,0,1
skillsusa,0,0,1
skillz,0,0,1
skim,2,0,1
skimm,0,1,0
skimmer,1,0,0
skimmlife,0,0,3
skin,4,9,11
skinned,0,0,1
skinner,0,1,3
skinners,1,0,0
skinney,0,1,0
skinny,4,3,4
skint,1,0,0
skip,8,21,22
skipety,0,1,0
skipper,1,0,2
skipton,0,1,0
skirmish,0,0,1
skirt,0,1,0
skit,1,0,1
skive,0,1,0
skol,0,1,0
skolviking,0,1,0
skool,2,1,1
skooma,0,1,0
skorea,1,0,0
